CohortMonth,Month_0,Retention_Month_1,Retention_Month_2,Retention_Month_3,Retention_Month_4,Retention_Month_5
2010-01,98,7.1,2,4.1,8.2,4.1
2010-02,108,0.9,NULL,2.8,3.7,4.6
2010-03,49,NULL,2,4.1,2,6.1
2010-05,68,7.4,NULL,2.9,4.4,1.5
2010-06,76,2.6,5.3,3.9,1.3,1.3
2010-07,53,7.5,1.9,NULL,NULL,34
2010-08,87,2.3,2.3,1.1,44.8,40.2
2010-09,83,NULL,NULL,34.9,30.1,30.1
2010-10,38,NULL,47.4,39.5,34.2,42.1
2010-12,288,34.4,27.8,37.5,29.5,37.8
2011-01,599,23.9,26.9,25,29.7,30.4
2011-02,427,21.5,20.1,23.9,26.7,26.7
2011-03,409,17.8,20,23.7,21,21.3
2011-04,325,20.3,16,21.2,14.5,22.2
2011-05,271,17.3,18.5,17.3,20.7,21
2011-06,271,16.2,16.2,23.6,19.6,23.6
2011-07,226,15,19.5,21.2,21.2,0.4
2011-08,166,19.9,23.5,19.9,1.2,NULL
2011-09,240,16.3,15,0.4,NULL,NULL
2011-10,250,12.4,1.2,NULL,NULL,NULL
2011-11,218,1.8,NULL,NULL,NULL,NULL
2011-12,22,NULL,NULL,NULL,NULL,NULL
